Month,Special Category Visa (subclass 444)(f),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(g),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(h),Total(i),State
Jan-2014,161660,30600,67060,51420,149080,26120,8310,6830,3150,3810,4350,52570,51270,365370,27160,22870,519240,1160,1744890,NSW
Feb-2014,118760,22720,45050,35490,103260,85320,7800,6070,2700,4010,9560,115470,23520,418930,24310,21670,603890,1140,1339050,VIC
Mar-2014,136160,21750,33480,29200,84430,32260,4920,370,2870,2190,1650,44260,23680,407140,23260,19000,517340,1490,1280150,QL
Apr-2014,149310,22740,38090,35050,95880,12320,4880,2580,2230,1640,2870,26520,29110,333430,19140,16560,424760,2050,1331230,TAS
May-2014,132300,20960,33830,34120,88910,9450,4100,250,2110,1700,1550,19160,23220,304720,19000,14470,380570,1290,1187550,NSW
Jun-2014,126040,19680,31790,34790,86260,14260,4110,440,1940,2000,2630,25380,24380,289690,18440,13790,371690,1490,1179420,NSW
Jul-2014,149800,19820,38920,40460,99200,59270,6310,7760,1940,2510,10650,88440,30470,350720,17520,15070,502220,2290,1594110,NSW
Aug-2014,143070,22390,35260,35660,93320,23010,4230,850,3370,2800,2240,36510,28040,345020,22680,15160,447400,1830,1362450,NSW
Sep-2014,146520,21290,33730,37640,92660,12340,4410,620,3020,2240,1470,24090,25550,322810,31560,16620,420640,1870,1381030,NSW
Oct-2014,166890,21540,36700,42870,101110,16920,5380,3180,2420,1900,2550,32360,25280,360700,30030,20400,468770,2670,1574500,NSW
Nov-2014,136990,20590,30520,33780,84890,13030,3890,300,2410,1630,1880,23130,21800,425790,24770,19410,514910,1710,1342800,NSW
Dec-2014,147830,18760,29100,31080,78940,13710,3790,390,1820,1650,3070,24430,18890,585480,19950,15860,664600,810,1455550,NSW
Jan-2015,162350,32830,70340,56240,159400,31720,10030,10600,3470,4070,4520,64400,46570,340450,26540,25540,503500,1300,1780350,NSW
Feb-2015,118010,20460,41020,32770,94250,81870,6080,3530,2850,3160,10110,107610,20570,507990,21350,20910,678430,1530,1415950,NSW
Mar-2015,143300,24000,39240,33760,97000,41070,6040,440,3360,2660,1520,55090,23000,460600,24710,22630,586030,1000,1388160,NSW
Apr-2015,151340,23240,41440,39220,103900,14320,6040,3120,2980,1960,3350,31780,26550,348390,19930,17170,443820,2570,1365370,NSW
May-2015,135110,21470,34860,34150,90480,9130,4670,250,2210,1690,1390,19340,22400,312650,18950,16000,389340,1570,1215090,NSW
Jun-2015,134030,21290,34120,35540,90950,13760,5350,510,2420,2030,2300,26360,22890,305920,18120,15110,388410,3110,1233570,NSW
Jul-2015,160580,20690,41730,42120,104540,68560,8000,10250,2460,3030,10970,103270,27850,362950,17370,18410,529850,2920,1646140,NSW
Aug-2015,148910,23740,38140,37640,99520,20660,4920,780,3260,2600,2310,34530,25810,373910,21100,16980,472330,1370,1419480,NSW
Sep-2015,152400,21690,35140,39680,96510,13230,5350,690,3220,1860,2430,26770,24020,362660,30170,17900,461520,1670,1456880,NSW
Oct-2015,169470,22420,38750,45710,106880,19550,6550,3350,2970,2120,2730,37260,23390,395350,28760,20790,505550,2540,1650380,NSW
Nov-2015,140870,20930,33780,35250,89960,14460,4600,370,2430,2050,2240,26140,20480,478090,24540,19120,568370,2020,1424700,NSW
Dec-2015,151680,20770,31620,32150,84550,15300,4450,510,2140,1740,2780,26920,18680,662250,19510,16230,743590,940,1584200,NSW
Jan-2016,169140,32660,75710,60460,168830,33460,12420,13150,3160,4450,4000,70650,41450,397850,26270,28350,564570,1100,1908270,NSW
Feb-2016,119770,25010,45500,37350,107860,109890,8660,3350,3170,3840,10370,139260,20920,551730,23540,24930,760390,1320,1560130,NSW
Mar-2016,144630,23820,37040,36200,97070,34270,5940,440,3500,2120,1290,47560,20940,539750,21960,22790,653000,1620,1479930,NSW
Apr-2016,153260,23500,42940,42400,108840,15050,7020,3510,3130,2030,3270,34020,22540,406580,19700,19120,501950,2360,1473700,NSW
May-2016,136710,22800,35730,38290,96820,9890,5400,620,2690,1590,1480,21670,20940,363640,18270,17700,442220,1260,1304820,NSW
Jun-2016,138850,21850,35280,38460,95590,16110,6140,450,3050,1830,2420,30000,20580,363050,18460,17310,449390,1430,1326820,NSW
Jul-2016,166700,22590,44960,49020,116570,85450,9330,11450,2690,3270,10600,122790,26510,431180,16570,20660,617710,2740,1829100,NSW
Aug-2016,149040,24270,39670,41430,105370,19870,6040,870,3660,2370,1400,34210,23910,429620,21930,18600,528280,1230,1511510,NSW
Sep-2016,165160,22400,38630,44900,105940,16610,7590,1190,4160,2360,2120,34020,23290,419110,30350,19500,526260,2660,1587330,NSW
Oct-2016,175180,23450,41650,52610,117710,21560,7690,3800,3350,2110,2740,41240,24920,460310,27450,22230,576140,3330,1778870,NSW
Nov-2016,143870,21390,35790,40050,97230,16740,5760,390,3280,1770,1790,29720,19830,526560,25330,21050,622500,1040,1512920,NSW
Dec-2016,160770,21020,33790,37190,92010,18230,5460,600,2450,1930,2950,31610,16870,730970,18930,17910,816300,1390,1716250,NSW
Jan-2017,172010,31170,79350,65910,176430,35550,13530,13190,3880,4140,3640,73920,39100,499560,24640,30250,667460,1390,2066340,NSW
Feb-2017,126120,27980,52210,46600,126780,129960,11400,5710,3790,4260,10200,165310,20960,517250,24040,27530,755100,1700,1631360,NSW
Mar-2017,148260,22240,36910,37550,96700,37930,7080,430,4340,2090,1610,53490,18010,552590,24280,23750,672120,1890,1522680,NSW
Apr-2017,162290,24560,48740,49580,122880,19860,9080,4190,3920,2030,4020,43100,24200,480830,17730,22020,587880,3370,1649770,NSW
May-2017,139820,23390,38680,42360,104440,11350,6610,610,2870,2060,1540,25030,20210,395770,18620,20560,480190,1800,1401070,NSW
Jun-2017,141130,23220,36790,42540,102550,18960,7320,520,3490,2000,2780,35060,22270,404730,19030,20510,501590,1190,1421130,NSW
Jul-2017,170130,22600,46620,51410,120630,100110,9990,12610,3170,3240,9620,138730,24820,445170,16030,21890,646640,5850,1909100,NSW
Aug-2017,152190,23570,38350,44130,106060,23710,6970,870,4350,2360,1620,39870,22310,489410,21290,20590,593480,2270,1623620,NSW
Sep-2017,158030,22990,39750,47420,110150,17570,7540,750,4060,2380,2700,34990,21050,441890,29550,23720,551200,2610,1666150,NSW
Oct-2017,180140,24070,46470,55270,125810,24930,8980,4870,3540,2270,2060,46650,21240,496220,26930,27290,618320,2080,1879610,NSW
Nov-2017,148330,21890,37230,42220,101330,18560,6330,300,3190,1670,2030,32090,17990,571280,24140,24760,670270,1460,1602190,NSW
Dec-2017,156020,20810,35740,37750,94300,20960,6040,630,2300,2050,2380,34360,16250,768550,18530,20490,858190,1400,1755130,NSW
Jan-2018,172700,33250,84020,74900,192170,44770,15890,16380,4060,4710,4360,90170,36960,465060,24940,39650,656780,1260,2130700,NSW
Feb-2018,123430,23320,46780,43920,114020,131490,10540,4110,3450,3640,10460,163680,18080,650080,21200,30920,883970,1760,1729160,NSW
